Num,PaperLink,Plant_latin,Plant_Chinese,Plant_English,Order,Family,DownloadLink,Download,Version,,
1,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10001,Abies alba, 欧洲冷杉, European silver fir,Pinales,Pinaceae,https://treegenesdb.org/FTP/Genomes/Abal/v1.1/,Yes,1.1,,
2,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10002,Abrus precatorius, 相思子, coralhead Plant,Fabales,Fabaceae,https://www.ncbi.nlm.nih.gov/genome/74709?genome_assembly_id=430755,Yes,,,
3,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10003,Actinidia chinensis, 猕猴桃, kiwifruit,Ericales,Actinidiaceae,http://kiwifruitgenome.org/ftp/A_chinensis/Hongyang/v3.0/,Yes,HongYang_V3,多个版本,
4,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10004,Actinidia eriantha, 毛花猕猴桃, velvet kiwifruit,Ericales,Actinidiaceae,http://gigadb.org/dataset/100568,Yes,,,
5,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10005,Allium sativum, 大蒜, garlic,Asparagales,Amaryllidaceae,https://figshare.com/articles/dataset/garlic_genome_and_transcriptome_resources/12570947/1,Yes,,,
6,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10006,Ananas comosus, 凤梨、菠萝, pineapple,Poales,Bromeliaceae,http://de.iplantcollaborative.org/dl/d/D7FE2945-794C-4D59-8FDF-FCBB1E1F3969/pineapple.zip,Yes,,,
7,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10007,Antirrhinum majus, 金鱼草, snapdragon,Lamiales,Plantaginaceae,,No,,网站打不开,
8,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10008,Apium graveolens, 芹菜, celery,Apiales,Apiaceae,http://celerydb.bio2db.com/download.html,Yes,,,
9,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10009,Aquilaria sinensis, 土沉香, aquilaria sinensis,Malvales,Thymelaeaceae,http://gigadb.org/dataset/100702,Yes,,,
10,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10010,Arachis hypogaea, 落花生,,,,http://peanutgr.fafu.edu.cn/Download.php,Yes,Zhuang,,
11,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10011,Artocarpus altilis, 面包树, breadfruit,Rosales,Moraceae,https://bioinformatics.psb.ugent.be/gdb/aocc/artal/,Yes,,,
12,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10012,Artocarpus heterophyllus, 波罗蜜, jackfruit,Rosales,Moraceae,https://bioinformatics.psb.ugent.be/gdb/aocc/arthe/,Yes,,,
13,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10013,Asparagus officinalis, 石刁柏, asparagus,Asparagales,Asparagaceae,,No,,网站打不开,
14,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10014,Atalantia buxifolia, 酒饼簕, Chinese box-orange,Sapindales,Rutaceae,http://citrus.hzau.edu.cn/download.php,Yes,1.0,,
15,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10015,Averrhoa carambola, 杨桃, star fruit,Oxalidales,Oxalidaceae,https://ngdc.cncb.ac.cn/search/?dbId=gwh&q=GWHABKE00000000,Yes,,,
16,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10016,Beta vulgaris, 甜菜, sugar beet,Caryophyllales,Amaranthaceae,https://www.ncbi.nlm.nih.gov/genome/221?genome_assembly_id=294401,Yes,RefBeet-1.2.2,,
17,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10017,Brassica juncea, 芥菜, Chinese mustard,Brassicales,Brassicaceae,http://39.100.233.196:82/download_genome/Brassica_Genome_data/Braju_tum_V2.0/,Yes,"tumida_v2,0",,
18,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10018,Brassica nigra, 黑芥, black mustard,Brassicales,Brassicaceae,http://brassicadb.cn/#/Download/,Yes,Ni100,,
19,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10019,Brassica oleracea var. botrytis, 花椰菜, cabbage,Brassicales,Brassicaceae,https://www.genoscope.cns.fr/externe/plants/chromosomes.html,Yes,HDEM,,
20,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10020,Brassica oleracea var. capitata, 甘蓝, cabbage,Brassicales,Brassicaceae,http://brassicadb.cn/#/Download/,Yes,JZSv2,,
21,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10021,Camellia sinensis, 茶, tea,Ericales,Theaceae,http://tpdb.shengxin.ren/,Yes,CSS_20200506,多个版本,
22,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10022,Camptotheca acuminata, 喜树, NA,Cornales,Nyssaceae,https://datadryad.org/stash/dataset/doi:10.5061/dryad.nc8qr,Yes,v2.4,,
